ano;mes;temperatura
1946;JUN.;14.76
1947;JUN.;16.18
1948;JUN.;15.21
1949;JUN.;16.02
1950;JUN.;16.07
1951;JUN.;14.44
1952;JUN.;15.16
1953;JUN.;15.47
1954;JUN.;16.27
1955;JUN.;15.0
1956;JUN.;13.44
1957;JUN.;15.03
1958;JUN.;15.39
1959;JUN.;15.03
1960;JUN.;15.03
1961;JUN.;16.35
1962;JUN.;13.58
1963;JUN.;14.31
1964;JUN.;14.25
1965;JUN.;16.83
1966;JUN.;16.62
1967;JUN.;16.05
1968;JUN.;14.54
1969;JUN.;16.19
1970;JUN.;17.26
1971;JUN.;14.87
1972;JUN.;17.73
1973;JUN.;17.44
1974;JUN.;14.79
1975;JUN.;15.47
1976;JUN.;15.33
1977;JUN.;16.76
1978;JUN.;15.19
1979;JUN.;14.94
1980;JUN.;15.42
1981;JUN.;15.24
1982;JUN.;17.73
1983;JUN.;16.15
1984;JUN.;17.32
1985;JUN.;14.67
1986;JUN.;16.16
1987;JUN.;14.98
1988;JUN.;14.63
1989;JUN.;15.75
1990;JUN.;15.63
1991;JUN.;16.89
1992;JUN.;18.0
1993;JUN.;15.99
1994;JUN.;15.86
1995;JUN.;16.46
1996;JUN.;16.04
1997;JUN.;15.9
1998;JUN.;15.6
1999;JUN.;15.7
2000;JUN.;17.3
2001;JUN.;16.9
2002;JUN.;18.6
2003;JUN.;18.1
2004;JUN.;16.0
2005;JUN.;18.0
2006;JUN.;16.2
2007;JUN.;17.3
2008;JUN.;16.4
2009;JUN.;14.8
2010;JUN.;15.6
2011;JUN.;14.8
2012;JUN.;17.0
2013;JUN.;17.5
2014;JUN.;17.4
2015;JUN.;17.1
2016;JUN.;14.5
2017;JUN.;16.8
2018;JUN.;17.4
2019;JUN.;17.9
2020;JUN.;18.4
2021;JUN.;16.4
2022;JUN.;16.16
2023;JUN.;16.8
1933;JUL.;13.32
1934;JUL.;13.7
1935;JUL.;15.71
1936;JUL.;14.9
1937;JUL.;15.29
1938;JUL.;14.24
1939;JUL.;12.93
1940;JUL.;16.36
1941;JUL.;14.02
1942;JUL.;11.57
1943;JUL.;14.02
1944;JUL.;12.91
1945;JUL.;14.4
1946;JUL.;13.76
1947;JUL.;13.39
1948;JUL.;16.19
1949;JUL.;14.5
1950;JUL.;14.8
1951;JUL.;13.09
1952;JUL.;14.85
1953;JUL.;13.25
1954;JUL.;15.62
1955;JUL.;14.78
1956;JUL.;13.95
1957;JUL.;14.42
1958;JUL.;16.01
1959;JUL.;16.54
1960;JUL.;15.08
1961;JUL.;15.69
1962;JUL.;13.24
1963;JUL.;15.39
1964;JUL.;12.73
1965;JUL.;15.27
1966;JUL.;16.46
1967;JUL.;15.59
1968;JUL.;14.18
1969;JUL.;15.28
1970;JUL.;15.05
1971;JUL.;15.04
1972;JUL.;15.44
1973;JUL.;16.37
1974;JUL.;15.84
1975;JUL.;13.73
1976;JUL.;14.82
1977;JUL.;18.32
1978;JUL.;16.53
1979;JUL.;14.57
1980;JUL.;16.27
1981;JUL.;13.75
1982;JUL.;16.46
1983;JUL.;17.06
1984;JUL.;16.64
1985;JUL.;14.73
1986;JUL.;15.11
1987;JUL.;17.75
1988;JUL.;12.93
1989;JUL.;14.16
1990;JUL.;14.11
1991;JUL.;15.69
1992;JUL.;15.42
1993;JUL.;16.76
1994;JUL.;16.48
1995;JUL.;17.81
1996;JUL.;13.91
1997;JUL.;17.1
1998;JUL.;16.0
1999;JUL.;16.3
2000;JUL.;14.6
2001;JUL.;16.5
2002;JUL.;15.7
2003;JUL.;16.7
2004;JUL.;15.3
2005;JUL.;16.0
2006;JUL.;16.9
2007;JUL.;15.3
2008;JUL.;16.1
2009;JUL.;15.8
2010;JUL.;17.4
2011;JUL.;16.4
2012;JUL.;16.4
2013;JUL.;15.4
2014;JUL.;16.1
2015;JUL.;17.1
2016;JUL.;16.3
2017;JUL.;15.5
2018;JUL.;16.9
2019;JUL.;15.8
2020;JUL.;17.4
2021;JUL.;14.4
2022;JUL.;17.7
2023;JUL.;16.8
1933;AGO.;15.08
1934;AGO.;15.2
1935;AGO.;14.88
1936;AGO.;14.02
1937;AGO.;16.32
1938;AGO.;14.94
1939;AGO.;16.18
1940;AGO.;16.36
1941;AGO.;17.04
1942;AGO.;14.78
1943;AGO.;13.37
1944;AGO.;15.93
1945;AGO.;17.13
1946;AGO.;16.62
1947;AGO.;14.78
1948;AGO.;14.06
1949;AGO.;15.56
1950;AGO.;17.03
1951;AGO.;13.87
1952;AGO.;16.67
1953;AGO.;15.71
1954;AGO.;16.36
1955;AGO.;15.31
1956;AGO.;13.67
1957;AGO.;15.82
1958;AGO.;17.89
1959;AGO.;16.07
1960;AGO.;16.97
1961;AGO.;17.32
1962;AGO.;15.17
1963;AGO.;16.73
1964;AGO.;16.34
1965;AGO.;16.89
1966;AGO.;15.6
