ds;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;additive_terms;additive_terms_lower;additive_terms_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat
2029-09-30;19.820189983046124;18.219283013171182;20.67495922427247;19.815062661525513;19.826127146888194;-0.42586079979968466;-0.42586079979968466;-0.42586079979968466;-0.42586079979968466;-0.42586079979968466;-0.42586079979968466;0.0;0.0;0.0;19.394329183246438
2029-10-31;19.821643916203026;19.667601729352334;22.183557012850837;19.81642798824132;19.827720655963656;1.056323043674995;1.056323043674995;1.056323043674995;1.056323043674995;1.056323043674995;1.056323043674995;0.0;0.0;0.0;20.877966959878023
2029-11-30;19.82305094829035;20.709662705688725;23.235857840320016;19.817646000054765;19.8292550372088;2.2465850053826184;2.2465850053826184;2.2465850053826184;2.2465850053826184;2.2465850053826184;2.2465850053826184;0.0;0.0;0.0;22.06963595367297
2029-12-31;19.824504881447254;21.977708175551083;24.39134481240995;19.81895969358494;19.830842391632764;3.3338701671195867;3.3338701671195867;3.3338701671195867;3.3338701671195867;3.3338701671195867;3.3338701671195867;0.0;0.0;0.0;23.15837504856684
2030-01-31;19.825958814604153;21.326235571446617;23.829680656774556;19.82029230114355;19.832429746056732;2.7003313305280368;2.7003313305280368;2.7003313305280368;2.7003313305280368;2.7003313305280368;2.7003313305280368;0.0;0.0;0.0;22.52629014513219
2030-02-28;19.827272044552323;21.747172653948976;24.340174962180342;19.821476015342228;19.833909934620323;3.1560807642999897;3.1560807642999897;3.1560807642999897;3.1560807642999897;3.1560807642999897;3.1560807642999897;0.0;0.0;0.0;22.983352808852313
2030-03-31;19.828725977709222;19.162655204505395;21.705784690856067;19.82275749063463;19.835503502485814;0.5670123201948751;0.5670123201948751;0.5670123201948751;0.5670123201948751;0.5670123201948751;0.5670123201948751;0.0;0.0;0.0;20.395738297904096
2030-04-30;19.830133009796548;17.184467425298184;19.66770601444894;19.824028911622566;19.837044647344122;-1.4273141128888227;-1.4273141128888227;-1.4273141128888227;-1.4273141128888227;-1.4273141128888227;-1.4273141128888227;0.0;0.0;0.0;18.402818896907725
2030-05-31;19.83158694295345;15.531941968313525;18.050150222379973;19.825320274580996;19.838644495171522;-2.9603569767072275;-2.9603569767072275;-2.9603569767072275;-2.9603569767072275;-2.9603569767072275;-2.9603569767072275;0.0;0.0;0.0;16.871229966246222
2030-06-30;19.83299397504077;15.57263730131202;18.168727440294678;19.826535837663364;19.840165245723806;-2.9727166914681837;-2.9727166914681837;-2.9727166914681837;-2.9727166914681837;-2.9727166914681837;-2.9727166914681837;0.0;0.0;0.0;16.86027728357259
2030-07-31;19.834447908197674;16.397731614513493;18.93734037225701;19.827833122129803;19.84175042751619;-2.163533468260201;-2.163533468260201;-2.163533468260201;-2.163533468260201;-2.163533468260201;-2.163533468260201;0.0;0.0;0.0;17.670914439937473
2030-08-31;19.835901841354577;16.9754329049385;19.497162175926846;19.829163781311934;19.843323417852794;-1.6023586191091788;-1.6023586191091788;-1.6023586191091788;-1.6023586191091788;-1.6023586191091788;-1.6023586191091788;0.0;0.0;0.0;18.233543222245398
2030-09-30;19.8373088734419;18.11199615668304;20.569991421211746;19.830461009155773;19.844867171113417;-0.5133009877368683;-0.5133009877368683;-0.5133009877368683;-0.5133009877368683;-0.5133009877368683;-0.5133009877368683;0.0;0.0;0.0;19.32400788570503
2030-10-31;19.8387628065988;19.722851057583135;22.207757397506533;19.831807493382826;19.846480707408137;1.1211898579957045;1.1211898579957045;1.1211898579957045;1.1211898579957045;1.1211898579957045;1.1211898579957045;0.0;0.0;0.0;20.959952664594507
2030-11-30;19.840169838686126;20.915013588942205;23.402574583503192;19.83299340445097;19.848016383507385;2.2694199401770834;2.2694199401770834;2.2694199401770834;2.2694199401770834;2.2694199401770834;2.2694199401770834;0.0;0.0;0.0;22.10958977886321
2030-12-31;19.84162377184303;21.9602925853239;24.437903128385205;19.834341184488526;19.84977036546022;3.385118078160419;3.385118078160419;3.385118078160419;3.385118078160419;3.385118078160419;3.385118078160419;0.0;0.0;0.0;23.22674185000345
2031-01-31;19.843077704999928;21.10514062420526;23.620381584244093;19.835693458826313;19.85131506871279;2.5304158930187475;2.5304158930187475;2.5304158930187475;2.5304158930187475;2.5304158930187475;2.5304158930187475;0.0;0.0;0.0;22.373493598018676
2031-02-28;19.844390934948095;21.9140713708174;24.35911856842048;19.836912001477696;19.85270916549371;3.2917413229496333;3.2917413229496333;3.2917413229496333;3.2917413229496333;3.2917413229496333;3.2917413229496333;0.0;0.0;0.0;23.136132257897728
2031-03-31;19.845844868104997;19.043221585625766;21.669292753652687;19.83824681236136;19.85433584287117;0.5461804616281132;0.5461804616281132;0.5461804616281132;0.5461804616281132;0.5461804616281132;0.5461804616281132;0.0;0.0;0.0;20.39202532973311
2031-04-30;19.847251900192322;17.25178215584589;19.81575049034322;19.83946407497877;19.85593204920058;-1.3949828508032571;-1.3949828508032571;-1.3949828508032571;-1.3949828508032571;-1.3949828508032571;-1.3949828508032571;0.0;0.0;0.0;18.452269049389066
2031-05-31;19.848705833349225;15.557136180443873;18.070183415554663;19.840748137725768;19.857560573675578;-3.0084197000325985;-3.0084197000325985;-3.0084197000325985;-3.0084197000325985;-3.0084197000325985;-3.0084197000325985;0.0;0.0;0.0;16.840286133316628
