ano;mes;temperatura
1999;MAI.;16.5
2000;MAI.;17.3
2001;MAI.;17.5
2002;MAI.;18.9
2003;MAI.;17.3
2004;MAI.;16.7
2005;MAI.;18.7
2006;MAI.;16.1
2007;MAI.;16.9
2008;MAI.;16.8
2009;MAI.;18.4
2010;MAI.;17.8
2011;MAI.;16.7
2012;MAI.;17.4
2013;MAI.;17.8
2014;MAI.;17.6
2015;MAI.;17.9
2016;MAI.;17.5
2017;MAI.;18.3
2018;MAI.;18.2
2019;MAI.;19.8
2020;MAI.;16.7
2021;MAI.;17.5
2022;MAI.;16.927150537634404
2023;MAI.;18.0
1933;JUN.;13.303194444444442
1934;JUN.;15.570972222222222
1935;JUN.;15.917361111111111
1936;JUN.;16.95554166666667
1937;JUN.;14.880416666666665
1938;JUN.;14.655833333333335
1939;JUN.;15.420694444444441
1940;JUN.;15.874305555555557
1941;JUN.;14.470555555555555
1942;JUN.;14.534861111111114
1943;JUN.;15.626666666666663
1944;JUN.;14.976111111111113
1945;JUN.;13.357499999999996
1946;JUN.;14.76083333333333
1947;JUN.;16.182916666666664
1948;JUN.;15.213611111111112
1949;JUN.;16.022222222222222
1950;JUN.;16.065694444444446
1951;JUN.;14.437777777777777
1952;JUN.;15.155555555555557
1953;JUN.;15.47111111111111
1954;JUN.;16.26986111111111
1955;JUN.;14.995972222222225
1956;JUN.;13.436527777777778
1957;JUN.;15.028055555555557
1958;JUN.;15.39277777777778
1959;JUN.;15.031666666666665
1960;JUN.;15.028749999999999
1961;JUN.;16.351944444444445
1962;JUN.;13.583472222222222
1963;JUN.;14.313888888888894
1964;JUN.;14.246250000000002
1965;JUN.;16.83277777777778
1966;JUN.;16.61652777777778
1967;JUN.;16.050833333333333
1968;JUN.;14.535
1969;JUN.;16.194722222222225
1970;JUN.;17.255555555555553
1971;JUN.;14.870000000000001
1972;JUN.;17.73166666666667
1973;JUN.;17.439861111111114
1974;JUN.;14.793611111111108
1975;JUN.;15.465833333333334
1976;JUN.;15.333749999999997
1977;JUN.;16.757777777777775
1978;JUN.;15.189166666666665
1979;JUN.;14.944444444444446
1980;JUN.;15.42101388888889
1981;JUN.;15.23916666666667
1982;JUN.;17.72597222222222
1983;JUN.;16.15458333333334
1984;JUN.;17.318374999999996
1985;JUN.;14.667916666666667
1986;JUN.;16.155416666666667
1987;JUN.;14.979722222222222
1988;JUN.;14.6325
1989;JUN.;15.750972222222224
1990;JUN.;15.62791666666667
1991;JUN.;16.891250000000003
1992;JUN.;17.99722222222222
1993;JUN.;15.98548611111111
1994;JUN.;15.859166666666665
1995;JUN.;16.464166666666667
1996;JUN.;16.039305555555554
1997;JUN.;15.9
1998;JUN.;15.6
1999;JUN.;15.7
2000;JUN.;17.3
2001;JUN.;16.9
2002;JUN.;18.6
2003;JUN.;18.1
2004;JUN.;16.0
2005;JUN.;18.0
2006;JUN.;16.2
2007;JUN.;17.3
2008;JUN.;16.4
2009;JUN.;14.8
2010;JUN.;15.6
